Equipment/consumables,Item number,Supplier,Comment
"Qiagen Powersoil Pro test kit, 250",#47016,Qiagen,
Primers,Various,E.g. Sigma,
"Magnetic beads,  AMPure XP / JetSeq Clean ",BIO-68031,Meridian Life Sciences,For clean-up
KAPA HiFi Hotstart ready mix,"KK2602, 6.25ml",Millennium Science,For PCR
MiSeq Reagent Kit v3,MS-102-3003,Illumina,Needs to be as fresh as possible
"Nextera XT Index Kit v2, Set A, B, C or D",FC-131-2003,Illumina,"One set (A, B, C or D) for 96 uniquely  indexed samples "
PhiX control,FC-110-3001,Illumina,
Qubit 1X dsDNA BR Assay Kit,Q33266,Thermofisher,DNA and PCR-product quantiication
Qubit 1X dsDNA HS Assay Kit,Q33230,Thermofisher,Pool quantification
Bioanalyzer Kit (HighSens or 1000 Kit),5067-4626 or 5067-1504,Integrated Science Tech,
Tween 20,H5151,Promega,For Miseq instrument wash
"96-well, 0.2ml plates, non-skirted",AB0600,Thermofisher,For PCR
96 Well 0.8mL Polypropylene Deepwel Plate,AB0859,Thermofisher,For clean-up
Optical Plate Seals,V7840,Promega,For PCR
0.5mL thin-walled PCR tubes,E4942,Promega,For Qubit
