#SampleID	#Sludge	#SampleID2	#SampleID3	WWTP	Digester	SludgeType	#Primer	PrimerName	PMA_treat	#ExtractionID	Rep_bio	Rep_tech	#SludgeSplID	Sludgecollection	SampleRequestID	#UniqueID2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical
PT-01	1	ARCSR_02_Meso_01	ARCSR_02_Meso_01V4_UNoPMA	ETP5	ETP5	Meso	1	V4_U	NoPMA	ARCSR_02_Meso_01	1	1	NA	9/5/2022	ARCSR_02	PT_001
PT-02	1	ARCSR_02_Meso_02	ARCSR_02_Meso_02V4_UNoPMA	ETP5	ETP5	Meso	1	V4_U	NoPMA	ARCSR_02_Meso_02	2	1	NA	9/5/2022	ARCSR_02	PT_002
PT-03	1	ARCSR_02_Meso_03	ARCSR_02_Meso_03V4_UNoPMA	ETP5	ETP5	Meso	1	V4_U	NoPMA	ARCSR_02_Meso_03	3	1	NA	9/5/2022	ARCSR_02	PT_003
PT-04	1	ARCSR_02_Meso_04	ARCSR_02_Meso_04V4_UNoPMA	ETP5	ETP5	Meso	1	V4_U	NoPMA	ARCSR_02_Meso_04	4	1	NA	9/5/2022	ARCSR_02	PT_004
PT-05	1	ARCSR_02_Meso_05	ARCSR_02_Meso_05V4_UNoPMA	ETP5	ETP5	Meso	1	V4_U	NoPMA	ARCSR_02_Meso_05	5	1	NA	9/5/2022	ARCSR_02	PT_005
PT-06	1	ARCSR_02_Meso_01	ARCSR_02_Meso_01V4_UPMA	ETP5	ETP5	Meso	1	V4_U	PMA	ARCSR_02_Meso_06	1	1	NA	9/5/2022	ARCSR_02	PT_006
PT-07	1	ARCSR_02_Meso_02	ARCSR_02_Meso_02V4_UPMA	ETP5	ETP5	Meso	1	V4_U	PMA	ARCSR_02_Meso_07	2	1	NA	9/5/2022	ARCSR_02	PT_007
PT-08	1	ARCSR_02_Meso_03	ARCSR_02_Meso_03V4_UPMA	ETP5	ETP5	Meso	1	V4_U	PMA	ARCSR_02_Meso_08	3	1	NA	9/5/2022	ARCSR_02	PT_008
PT-09	1	ARCSR_02_Meso_04	ARCSR_02_Meso_04V4_UPMA	ETP5	ETP5	Meso	1	V4_U	PMA	ARCSR_02_Meso_09	4	1	NA	9/5/2022	ARCSR_02	PT_009
PT-10	1	ARCSR_02_Meso_05	ARCSR_02_Meso_05V4_UPMA	ETP5	ETP5	Meso	1	V4_U	PMA	ARCSR_02_Meso_10	5	1	NA	9/5/2022	ARCSR_02	PT_010
PT-11	1	ARCSR_02_Meso_01	ARCSR_02_Meso_01V4_UPMAx	ETP5	ETP5	Meso	1	V4_U	PMAx	ARCSR_02_Meso_11	1	1	NA	9/5/2022	ARCSR_02	PT_011
PT-12	1	ARCSR_02_Meso_02	ARCSR_02_Meso_02V4_UPMAx	ETP5	ETP5	Meso	1	V4_U	PMAx	ARCSR_02_Meso_12	2	1	NA	9/5/2022	ARCSR_02	PT_012
PT-13	1	ARCSR_02_Meso_03	ARCSR_02_Meso_03V4_UPMAx	ETP5	ETP5	Meso	1	V4_U	PMAx	ARCSR_02_Meso_13	3	1	NA	9/5/2022	ARCSR_02	PT_013
PT-14	1	ARCSR_02_Meso_04	ARCSR_02_Meso_04V4_UPMAx	ETP5	ETP5	Meso	1	V4_U	PMAx	ARCSR_02_Meso_14	4	1	NA	9/5/2022	ARCSR_02	PT_014
PT-15	1	ARCSR_02_Meso_05	ARCSR_02_Meso_05V4_UPMAx	ETP5	ETP5	Meso	1	V4_U	PMAx	ARCSR_02_Meso_15	5	1	NA	9/5/2022	ARCSR_02	PT_015
PT-16	2	ARCSR_03_Meso_01	ARCSR_03_Meso_01V4_UNoPMA	MM	MM2	Meso	1	V4_U	NoPMA	ARCSR_03_Meso_16	1	1	NA	9/5/2022	ARCSR_03_1	PT_016
PT-17	2	ARCSR_03_Meso_02	ARCSR_03_Meso_02V4_UNoPMA	MM	MM2	Meso	1	V4_U	NoPMA	ARCSR_03_Meso_17	2	1	NA	9/5/2022	ARCSR_03_1	PT_017
PT-18	2	ARCSR_03_Meso_03	ARCSR_03_Meso_03V4_UNoPMA	MM	MM2	Meso	1	V4_U	NoPMA	ARCSR_03_Meso_18	3	1	NA	9/5/2022	ARCSR_03_1	PT_018
PT-19	2	ARCSR_03_Meso_04	ARCSR_03_Meso_04V4_UNoPMA	MM	MM2	Meso	1	V4_U	NoPMA	ARCSR_03_Meso_19	4	1	NA	9/5/2022	ARCSR_03_1	PT_019
PT-20	2	ARCSR_03_Meso_05	ARCSR_03_Meso_05V4_UNoPMA	MM	MM2	Meso	1	V4_U	NoPMA	ARCSR_03_Meso_20	5	1	NA	9/5/2022	ARCSR_03_1	PT_020
